source_collage,output_filename,row,column,x,y,width,height
invoice_01.png,batch2_invoice_001.png,1,1,0,0,380,498
invoice_01.png,batch2_invoice_002.png,1,2,384,0,375,498
invoice_01.png,batch2_invoice_003.png,1,3,763,0,375,498
invoice_01.png,batch2_invoice_004.png,1,4,1145,0,391,498
invoice_01.png,batch2_invoice_005.png,2,1,0,501,379,523
invoice_01.png,batch2_invoice_006.png,2,2,383,501,374,523
invoice_01.png,batch2_invoice_007.png,2,3,761,501,376,523
invoice_01.png,batch2_invoice_008.png,2,4,1142,501,394,523
invoice_02.png,batch2_invoice_009.png,1,1,0,0,380,372
invoice_02.png,batch2_invoice_010.png,1,2,383,0,371,372
invoice_02.png,batch2_invoice_011.png,1,3,758,0,375,372
invoice_02.png,batch2_invoice_012.png,1,4,1136,0,400,372
invoice_02.png,batch2_invoice_013.png,2,1,0,374,380,337
invoice_02.png,batch2_invoice_014.png,2,2,383,374,371,337
invoice_02.png,batch2_invoice_015.png,2,3,758,374,375,337
invoice_02.png,batch2_invoice_016.png,2,4,1136,374,400,337
invoice_02.png,batch2_invoice_017.png,3,1,0,713,380,311
invoice_02.png,batch2_invoice_018.png,3,2,383,713,371,311
invoice_02.png,batch2_invoice_019.png,3,3,758,713,375,311
invoice_02.png,batch2_invoice_020.png,3,4,1136,713,400,311
invoice_03.png,batch2_invoice_021.png,1,1,7,7,339,295
invoice_03.png,batch2_invoice_022.png,1,2,358,0,348,306
invoice_03.png,batch2_invoice_023.png,1,3,712,0,355,309
invoice_03.png,batch2_invoice_024.png,1,4,1079,0,448,302
invoice_03.png,batch2_invoice_025.png,2,1,0,310,347,248
invoice_03.png,batch2_invoice_026.png,2,2,356,310,361,248
invoice_03.png,batch2_invoice_027.png,2,3,720,313,352,242
invoice_03.png,batch2_invoice_028.png,2,4,1077,307,453,248
invoice_03.png,batch2_invoice_029.png,3,1,1,562,340,228
invoice_03.png,batch2_invoice_030.png,3,2,348,563,360,226
invoice_03.png,batch2_invoice_031.png,3,3,719,561,355,229
invoice_03.png,batch2_invoice_032.png,3,4,1082,560,444,230
invoice_03.png,batch2_invoice_033.png,4,1,0,793,343,231
invoice_03.png,batch2_invoice_034.png,4,2,348,793,362,230
invoice_03.png,batch2_invoice_035.png,4,3,723,793,349,229
invoice_03.png,batch2_invoice_036.png,4,4,1084,794,429,230
invoice_04.png,batch2_invoice_037.png,1,1,0,0,312,457
invoice_04.png,batch2_invoice_038.png,1,2,316,0,293,457
invoice_04.png,batch2_invoice_039.png,1,3,613,0,283,457
invoice_04.png,batch2_invoice_040.png,1,4,900,0,295,457
invoice_04.png,batch2_invoice_041.png,1,5,1199,0,337,457
invoice_04.png,batch2_invoice_042.png,2,1,0,459,310,269
invoice_04.png,batch2_invoice_043.png,2,2,315,459,293,269
invoice_04.png,batch2_invoice_044.png,2,3,611,459,285,269
invoice_04.png,batch2_invoice_045.png,2,4,900,459,295,269
invoice_04.png,batch2_invoice_046.png,2,5,1199,459,337,269
invoice_04.png,batch2_invoice_047.png,3,1,0,732,309,292
invoice_04.png,batch2_invoice_048.png,3,2,313,732,295,292
invoice_04.png,batch2_invoice_049.png,3,3,611,732,285,292
invoice_04.png,batch2_invoice_050.png,3,4,899,732,296,292
invoice_04.png,batch2_invoice_051.png,3,5,1199,732,337,292
invoice_05.png,batch2_invoice_052.png,1,1,0,0,303,361
invoice_05.png,batch2_invoice_053.png,1,2,306,0,287,361
invoice_05.png,batch2_invoice_054.png,1,3,596,0,312,361
invoice_05.png,batch2_invoice_055.png,1,4,911,0,300,361
